,name,hp,str,mag,dex,spd,lck,def,res,cha
1,Protagonist,45,45,35,45,45,45,35,30,45
2,Sothis (NPC),35,30,65,40,40,65,30,60,70
3,Edelgard,40,55,45,45,40,30,35,35,60
4,Hubert,35,30,55,45,45,35,25,40,35
5,Dorothea,40,20,40,45,40,35,15,35,40
6,Ferdinand,50,45,20,40,50,40,35,20,40
7,Bernadetta,35,35,20,55,50,25,20,30,35
8,Caspar,55,45,25,45,45,40,30,20,25
9,Petra,45,40,25,50,60,45,30,15,35
10,Linhardt,30,30,45,40,40,45,30,45,20
11,Dimitri,55,60,20,50,50,25,40,20,55
12,Dedue,60,50,15,30,20,25,50,10,30
13,Felix,45,55,30,45,55,40,30,20,30
14,Mercedes,30,25,50,45,40,30,25,45,40
15,Ashe,35,35,25,55,50,40,20,35,25
16,Annette,25,30,50,50,35,35,20,30,35
17,Sylvain,55,45,30,35,50,35,40,25,40
18,Ingrid,40,35,35,40,60,45,30,40,45
19,Claude,35,40,25,60,55,45,30,25,55
20,Lorenz,55,40,40,45,40,25,30,40,35
21,Hilda,50,45,25,30,50,35,35,20,50
22,Raphael,65,50,15,35,15,35,45,10,25
23,Lysithea,20,15,60,60,50,15,10,25,25
24,Ignatz,35,35,30,50,50,55,25,35,25
25,Marianne,35,20,50,40,40,35,15,45,40
26,Leonie,40,40,20,55,60,40,40,15,40
27,Rhea (NPC),45,35,45,40,40,40,30,40,70
28,Manuela,50,35,35,40,60,35,30,25,50
29,Hanneman,40,30,55,45,20,35,25,40,35
30,Seteth,50,45,35,50,50,25,30,25,45
31,Flayn,25,25,55,45,35,15,25,50,45
32,Cyril,35,20,15,40,40,30,10,10,15
33,Jeralt (NPC),50,45,20,45,40,25,35,35,35
34,Catherine,50,50,25,40,55,30,30,20,25
35,Alois,45,45,20,35,40,30,40,20,40
36,Gilbert,55,45,20,45,30,15,45,10,35
37,Shamir,35,40,20,55,40,55,20,15,30
38,Yuri,30,40,35,40,65,45,30,35,50
39,Balthus,50,50,30,25,30,20,45,30,30
40,Constance,20,20,60,30,35,15,15,30,25
41,Hapi,35,35,45,45,40,20,15,45,25
42,Jeritza,50,50,35,35,60,30,40,25,25
43,Anna,35,35,35,45,55,45,30,40,50
