,name,hp,str,mag,dex,spd,lck,def,res,cha
1,Noble,0,0,0,0,0,0,0,0,5
2,Dancer,20,-5,0,0,0,0,-5,-5,10
3,Myrmidon,10,0,0,0,5,0,0,-5,5
4,Soldier,10,0,0,5,0,0,0,-5,5
5,Fighter,10,5,0,0,0,0,0,-5,5
6,Monk,5,0,0,0,0,0,0,5,5
7,Lord,20,0,0,10,0,0,0,0,10
8,Mercenary,20,5,0,0,5,0,0,-5,5
9,Thief,20,0,0,10,10,0,0,0,5
10,Armored Knight,20,0,0,0,-10,0,10,-5,5
11,Cavalier,20,5,0,5,-10,0,5,0,5
12,Brigand,30,10,0,0,0,0,0,-5,5
13,Archer,5,0,0,10,0,5,0,0,5
14,Brawler,30,0,-10,10,10,0,0,-10,5
15,Mage,5,-5,10,5,0,0,-5,5,5
16,Priest,5,-5,5,5,0,0,-5,10,10
17,Pegasus Knight,15,0,0,0,10,0,0,5,10
18,Hero,30,10,0,0,10,0,0,-5,5
19,Swordmaster,25,10,0,0,20,0,0,-5,5
20,Fortress Knight,30,10,0,0,-10,0,15,0,5
21,Paladin,30,10,0,5,-10,5,5,5,5
22,Wyvern Rider,30,10,-5,0,0,0,5,-5,5
23,Warrior,40,15,-5,0,0,0,0,0,5
24,Sniper,10,5,0,20,0,10,0,0,5
25,Grappler,40,10,0,10,10,0,0,0,5
26,Warlock,10,0,10,0,0,0,-5,5,5
27,Bishop,10,0,10,0,0,10,-5,5,10
28,Falcon Knight,30,10,0,0,20,0,0,5,10
29,Wyvern Lord,30,15,-5,0,10,0,5,0,5
30,Mortal Savant,20,10,10,0,-10,10,0,0,5
31,Great Knight,30,10,0,0,-10,0,5,-5,5
32,Bow Knight,10,0,0,0,-5,0,0,0,5
33,Dark Knight,10,5,10,0,-5,0,5,10,5
34,Holy Knight,10,0,10,0,-5,10,5,10,10
35,War Master,40,15,0,0,10,0,0,0,5
36,Gremory,10,0,10,10,0,0,0,5,10
37,Trickster,20,,,15,20,10,,5,
38,War Monk/Cleric,40,10,5,10,,,,5,5
39,Dark Flier,20,,,,10,,,10,10
40,Valkyrie,5,,5,,-5,5,5,10,10
41,Death Knight,30,10,10,,-5,,5,5,
42,Archbishop,40,10,10,0,0,0,0,10,10
43,Flame Emperor,30,10,10,0,0,0,5,5,10
44,Agastya,30,0,10,0,0,0,0,10,10
45,Saint,40,10,10,0,0,0,0,10,10
46,Verrat,10,,10,0,0,0,-5,5,5
47,Noble,0,0,0,0,0,0,0,0,5
48,Dancer,20,-5,0,0,0,0,-5,-5,10
49,5,(House leaders’ Part 2 classes),Armored Lord,20,5,5,0,0,0,5
50,5,10,High Lord,20,5,0,5,0,0,5
51,0,10,Wyvern Master,20,10,0,0,10,0,5
52,0,10,Emperor,30,10,10,0,0,0,5
53,5,10,Great Lord,30,10,0,10,0,0,10
54,0,10,Barbarossa,30,15,0,0,20,0,5
55,Myrmidon,10,0,0,0,10,0,0,-10,5
56,Soldier,10,0,0,10,0,0,0,-10,5
57,Fighter,10,10,0,0,0,0,0,-10,5
58,Monk,10,0,0,0,0,0,0,20,5
59,Lord,20,15,0,10,0,0,10,0,10
60,Lord (Judith),30,10,0,10,10,0,20,0,10
61,Mercenary,20,15,0,0,10,0,10,-10,5
62,Thief,20,15,0,10,15,0,10,0,5
63,Armored Knight,20,15,0,0,-30,0,40,-20,5
64,Cavalier,20,20,0,0,0,0,15,0,5
65,Brigand,30,25,0,0,0,0,10,-10,5
66,Archer,10,15,0,10,0,10,0,0,5
67,Brawler,30,15,-10,10,20,0,10,-10,5
68,Mage,10,-5,10,0,0,0,-10,35,5
69,Priest,10,-5,5,0,0,10,-10,35,10
70,Pegasus Knight,30,15,0,0,10,0,25,25,10
71,Hero,50,22,0,5,15,0,30,-5,5
72,Swordmaster,40,20,0,10,30,0,25,-5,5
73,Fortress Knight,50,20,0,0,-30,0,60,-20,5
74,Paladin,40,15,0,5,0,5,40,10,5
75,Pegasus Knight (enemy only),30,15,0,0,10,0,25,25,10
76,Wyvern Rider,40,25,-5,0,0,0,35,-10,5
77,Warrior,50,30,0,0,0,0,25,0,5
78,Sniper,30,15,0,30,0,0,20,0,5
79,Grappler,50,18,0,0,0,0,25,0,5
80,Warlock,30,0,10,0,0,0,-5,50,5
81,Bishop,30,0,10,0,0,10,-5,50,10
82,Falcon Knight,40,23,0,0,20,0,35,35,10
83,Wyvern Lord,40,28,-5,0,10,0,50,0,5
84,Mortal Savant,40,20,10,0,-10,20,20,35,5
85,Great Knight,50,22,0,0,-20,0,55,-10,5
86,Bow Knight,40,15,0,10,-5,0,25,5,5
87,Dark Knight,40,15,10,0,0,0,20,45,5
88,Holy Knight,35,0,20,0,0,10,5,50,10
89,War Master,60,32,0,0,20,0,35,0,5
90,Gremory,30,0,35,20,0,0,5,55,10
91,Trickster,30,18,,15,28,10,25,10,
92,War Monk/Cleric,50,18,,,,,25,15,5
93,Dark Flier,30,15,,,10,,25,25,10
94,Valkyrie,20,,15,,,10,5,55,15
95,Death Knight,20,25,10,,10,,15,5,
96,Archbishop,40,10,10,0,0,0,0,10,10
97,Flame Emperor,30,10,10,0,0,0,5,5,10
98,Agastya,30,10,10,0,0,0,0,10,10
99,King of Liberation,60,10,0,10,10,0,30,30,10
100,Saint,40,20,10,0,0,0,20,10,10
101,Verrat,50,,10,0,0,0,50,50,5
